Episode,Score,Best,Total reward,End position
110,17.6485334766,21.3216459145,1482.47681204,"[  1.23274081e-02   2.98844513e+01   7.44698832e+01   1.08870222e+00
   1.12602703e-04   0.00000000e+00]"
111,17.7848171394,21.3216459145,1493.92463971,"[  3.71276658e-04   1.42048221e+01   8.08575913e+01   5.00356145e-01
   2.95681136e-04   0.00000000e+00]"
112,17.7635863418,21.3216459145,1492.14125271,"[  3.66484289e-02   1.54635368e+01   8.06553030e+01   4.65270293e-01
   6.28244684e+00   0.00000000e+00]"
113,17.6481445994,21.3216459145,1482.44414635,"[  2.19659001e-02  -2.91060386e+01   7.56453367e+01   5.55977771e+00
   6.28251497e+00   0.00000000e+00]"
114,17.7939273883,21.3216459145,1494.68990061,"[ -3.11010061e-02   1.01285478e-01   8.28542621e+01   5.68705317e+00
   5.34200049e-04   0.00000000e+00]"
115,17.7491251079,21.3216459145,1490.92650906,"[  2.76143286e-02  -1.73883834e+01   8.06052724e+01   6.03705367e+00
   6.28256852e+00   0.00000000e+00]"
116,16.8414699355,21.3216459145,1414.68347458,"[ -2.97224196e-02  -5.53474251e+01   5.22796311e+01   4.86769913e+00
   1.37051066e-03   0.00000000e+00]"
117,17.533448271,21.3216459145,1472.80965476,"[ -1.14400943e-02  -3.71653616e+01   7.45768655e+01   6.06882476e+00
   5.16909984e-05   0.00000000e+00]"
118,17.6598000972,21.3216459145,1483.42320817,"[  1.93347553e-02  -2.79205562e+01   7.62905067e+01   5.40450706e+00
   6.28279549e+00   0.00000000e+00]"
119,17.7196851352,21.3216459145,1488.45355136,"[ -7.83412390e-03   2.24300346e+01   7.84047748e+01   4.86951376e-01
   4.62791154e-04   0.00000000e+00]"
120,17.6369707932,21.3216459145,1481.50554663,"[  7.46185537e-03   3.28458405e+01   7.23434235e+01   1.48323992e+00
   6.28303871e+00   0.00000000e+00]"
121,17.4954004346,21.3216459145,1469.61363651,"[  7.12774435e-03  -3.94916061e+01   7.12723411e+01   6.04844670e+00
   6.28303424e+00   0.00000000e+00]"
122,17.7946824981,21.3216459145,1494.75332984,"[  1.73605036e-03   6.02769799e+00   8.25150547e+01   1.26491356e-01
   6.28314346e+00   0.00000000e+00]"
123,17.766125358,21.3216459145,1492.35453007,"[ -3.05383554e-02   1.40883772e+01   8.10096481e+01   3.43465781e-01
   1.53362991e-03   0.00000000e+00]"
124,17.6983173121,21.3216459145,1486.65865422,"[  4.87704446e-03  -2.55720672e+01   7.62460030e+01   5.35079512e+00
   1.80012029e-04   0.00000000e+00]"
